Ref,Val,Package,PosX,PosY,Rot,Side
C32,0.1uF,C_0603_1608Metric,12.6125,-120.33,0,bottom
C33,0.1uF,C_0603_1608Metric,8.55,-124.43,90,bottom
C34,0.1uF,C_0603_1608Metric,19.2,-121.0925,270,bottom
C35,0.1uF,C_0603_1608Metric,16.2,-120.33,0,bottom
C36,0.1uF,C_0603_1608Metric,24.95,-133.03,180,bottom
D1,3.9 Zener,D_SOD-123,17,-136.48,270,bottom
D3,Schottkey/1A,D_2010_5025Metric,6.85,-129.35,90,bottom
D20,?,D_2010_5025Metric,-2.12,-146.94,0,bottom
D21,3.9 Zener,D_SOD-123,26.55,-137.13,0,bottom
Q6,BC817,SOT-23,9.22,-120.75,180,bottom
R3,10k,R_0603_1608Metric,21.25,-135.63,90,bottom
R4,10k,R_0603_1608Metric,19.4,-135.68,270,bottom
R30,100K(1%)0.1W,R_0603_1608Metric,57.65,-136.03,180,bottom
R31,100K(1%)0.1W,R_0603_1608Metric,57.65,-134.03,0,bottom
R32,1K(1%)0.1W,R_0603_1608Metric,54.0375,-136.03,180,bottom
R33,1K(1%)0.1W,R_0603_1608Metric,54.0375,-134.03,180,bottom
R36,22R(1%)0.1W,R_0603_1608Metric,34.35,-138.63,270,bottom
R37,22R(1%)0.1W,R_0603_1608Metric,40.25,-115.4175,270,bottom
R38,22R(1%)0.1W,R_0603_1608Metric,44.45,-115.4175,270,bottom
R39,22R(1%)0.1W,R_0603_1608Metric,42.35,-115.43,270,bottom
R40,10k,R_0603_1608Metric,30.05,-87.03,180,bottom
R42,1k,R_0603_1608Metric,-4.3,-118.3575,270,bottom
R46,4.7k,R_0603_1608Metric,9.75,-60.43,270,bottom
R47,10k,R_0603_1608Metric,18.95,-130.73,90,bottom
R49,3.3k,R_0603_1608Metric,20.85,-130.73,270,bottom
R50,1k,R_0603_1608Metric,28.45,-133.03,0,bottom
R51,1k,R_0603_1608Metric,31.45,-129.93,180,bottom
R52,100k,R_0603_1608Metric,31.45,-125.63,180,bottom
R53,1k,R_0603_1608Metric,31.45,-127.78,0,bottom
U9,MAX3232,SOP65P640X120-16N,14.35,-126.53,270,bottom
U10,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,4.95,-62.33,90,bottom
U11,LM393,LM393DRG4,26.4,-127.23,90,bottom
U12,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,26.05,-68.03,180,bottom
